station_id,year,arome_tmin,sencrop_tmin
11426,2024,2.9,6.511962962962963
11426,2024,9.3,9.066666666666666
11426,2024,3.4,4.950723025583982
11426,2024,2.9,5.035592592592593
11426,2024,0.7,2.9785185185185186
11426,2024,1.5,2.411049314052651
11426,2024,2.3,5.2379999999999995
11426,2024,4.8,7.272222222222222
11426,2024,12.9,13.383722654801632
11426,2024,11.3,11.389555555555557
11426,2024,2.6,4.055111111111111
11426,2024,2.0,3.007029226785053
11426,2024,5.5,6.341768405475397
11426,2024,1.8,3.784814814814814
11426,2024,3.2,5.632148148148148
11426,2024,6.7,8.744
11426,2024,8.2,10.717869034406217
11426,2024,5.7,6.071111111111112
11426,2024,10.2,9.801965146459027
11426,2024,9.6,8.901777777777777
11426,2024,4.6,5.844222222222223
11426,2024,8.6,8.349296296296297
11426,2024,2.5,5.496666666666666
11426,2024,3.7,4.762338142804291
11426,2024,0.7,2.2812592592592593
11426,2024,7.2,7.399592139414164
11426,2024,4.4,6.1829629629629625
11426,2024,7.8,7.466666666666666
11426,2024,5.5,5.81616611049314
11426,2024,7.3,8.71160548757879
11426,2024,4.0,6.854074074074075
11426,2024,10.0,9.40500556173526
11426,2024,4.7,5.517222222222222
11426,2024,3.0,4.579629629629629
11426,2024,2.6,3.9033333333333338
11426,2024,0.4,1.4703333333333333
11426,2024,4.1,8.071518518518518
11426,2024,9.2,9.606333333333334
11426,2024,7.4,7.506067332593414
11426,2024,5.2,5.790455049944507
11426,2024,6.3,6.863555555555555
11426,2024,6.4,7.738475767665557
11426,2024,4.6,7.382222222222222
11426,2024,5.3,8.329555555555556
11426,2024,7.8,11.066666666666668
11426,2024,7.2,8.268814814814814
11426,2024,9.6,10.260845383759731
11426,2024,8.2,10.509121245828698
11426,2024,6.7,9.857185185185184
11426,2024,7.4,9.504888888888887
11426,2024,10.9,12.606555555555556
11426,2024,9.7,10.750888888888888
11426,2024,4.7,7.338814814814815
11426,2024,1.6,4.321777777777777
11426,2024,7.7,8.16069707081943
11426,2024,4.0,3.667777777777778
11426,2024,8.5,8.767592592592592
11426,2024,13.5,14.18878648233487
11426,2024,16.1,14.921365554276946
11426,2024,10.5,10.794009216589862
11426,2024,7.2,8.39411111111111
11426,2024,6.2,7.579448621553887
11426,2024,9.4,11.073888888888888
11426,2024,7.4,9.866518518518518
11426,2024,8.6,11.133333333333333
11426,2024,7.6,10.552830188679245
11426,2024,9.8,13.070888888888888
11426,2024,10.8,13.05613644790508
11426,2024,9.4,9.338450129773822
11426,2024,8.3,7.845555555555555
11426,2024,8.1,8.466666666666667
11426,2024,8.6,10.709333333333332
11426,2024,10.3,13.08562962962963
11426,2024,11.1,13.991397849462366
11426,2024,10.4,13.131037037037038
11426,2024,11.4,11.6
11426,2024,7.2,7.036
11426,2024,5.9,5.977111111111112
11426,2024,5.1,5.177999999999999
11426,2024,8.1,8.454444444444444
11426,2024,5.0,5.111111111111112
11426,2024,4.3,3.643951165371809
11426,2024,5.2,4.377530589543937
11426,2024,6.0,5.466666666666666
11426,2024,4.3,4.2652222222222225
11426,2024,9.6,10.77545420837968
11426,2024,10.8,10.272666666666666
11426,2024,13.1,13.012689604143546
11426,2024,11.6,11.010222222222222
11426,2024,12.5,11.568888888888887
11426,2024,13.8,12.503188728216536
11426,2025,3.4,4.018205413422321
11426,2025,2.1,2.7515353311135775
11426,2025,0.7,1.4625185185185186
11426,2025,-0.5,-0.2692592592592592
11426,2025,-0.4,-0.3702632554690396
11426,2025,1.5,0.808
11426,2025,0.5,0.3074814814814814
11426,2025,9.2,9.366666666666667
11426,2025,2.0,3.1244913059563446
11426,2025,7.0,7.758934517203108
11426,2025,9.3,10.139636633296254
11426,2025,9.5,9.502558398220245
11426,2025,7.4,8.666666666666666
11426,2025,5.9,4.127376988531262
11426,2025,-0.7,-1.3404894327030032
11426,2025,1.0,1.8283333333333336
11426,2025,1.8,2.7050740740740737
11426,2025,2.2,3.9625555555555554
11426,2025,6.8,8.70604375231739
11426,2025,8.2,9.33851851851852
11426,2025,5.0,6.497111111111111
11426,2025,11.5,12.36330003699593
11426,2025,9.7,9.423555555555552
11426,2025,7.0,7.790396737115313
11426,2025,8.7,9.12406377456433
11426,2025,5.9,5.460444444444445
11426,2025,2.2,1.5931111111111111
11426,2025,4.6,4.979555555555557
11426,2025,1.9,3.241777777777778
11426,2025,2.5,3.1303333333333327
11426,2025,2.5,3.7784444444444447
11426,2025,3.0,4.277333333333333
11426,2025,3.2,5.274074074074074
11426,2025,4.3,6.435925925925927
11426,2025,4.3,8.14725925925926
11426,2025,9.4,10.78711111111111
11426,2025,12.4,12.613333333333332
11426,2025,9.7,9.790222222222225
11426,2025,6.4,7.928888888888889
11426,2025,7.6,8.075555555555555
11426,2025,5.9,5.27237037037037
11426,2025,3.9,4.705481481481482
11426,2025,2.4,3.1744358120606733
11426,2025,-0.5,1.1123936366999632
11426,2025,1.0,2.052666666666666
11426,2025,2.3,4.262217278457546
11426,2025,2.9,4.879319274879763
11426,2025,5.0,7.129333333333333
11426,2025,6.7,7.594968553459119
11426,2025,12.3,13.666666666666666
11426,2025,5.9,7.129999999999999
11426,2025,7.6,7.466666666666666
11426,2025,5.9,6.065222222222222
11426,2025,9.4,9.472
11426,2025,8.6,8.966666666666667
11426,2025,5.5,8.47
11426,2025,9.2,8.666666666666668
11426,2025,8.5,7.968516463189048
11426,2025,10.8,10.339037037037038
11426,2025,4.9,5.933333333333334
11426,2025,6.9,8.66311111111111
11426,2025,9.6,10.330740740740742
11426,2025,8.5,9.317426770485726
11426,2025,10.0,11.658657767890247
11426,2025,8.5,11.33688888888889
11426,2025,9.9,11.166555555555554
11426,2025,9.0,8.566666666666666
11426,2025,10.5,11.234074074074076
11426,2025,9.3,10.466518682944876
11426,2025,7.7,9.7684794672586
11426,2025,8.9,10.170666666666666
11426,2025,13.2,13.965333333333334
11426,2025,12.4,12.166185185185183
11426,2025,13.0,12.767296296296296
11426,2025,12.1,11.102222222222222
11426,2025,8.4,8.236888888888888
11426,2025,5.4,5.836225435669262
11426,2025,8.8,10.501037037037037
11426,2025,11.3,11.56896551724138
11426,2025,8.6,9.738370370370369
11426,2025,9.3,10.566666666666666
11426,2025,12.1,11.466666666666669
11426,2025,9.2,8.96211111111111
11426,2025,11.1,10.634962962962964
11426,2025,9.2,8.445504994450609
11426,2025,12.3,12.561222222222224
11426,2025,9.9,10.650333333333332
11426,2025,11.5,12.32925925925926
11426,2025,10.6,11.460437523173898
11426,2025,14.4,11.453555555555557
